links_link,links_Review_name,links_Review_Title,links_Review_Text,links_Review_Date,links_Review_Purpose
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Gorgeous. I felt incredible.,"Beautiful dress! I'm 5'6 150lb, D cups. Dress fit like a glove. Because stomach rouching I didn't wear spanks, and I wore a normal (non push up) bra. It's a lot of cleavage. I woke a scarf the second half of the night because I felt like my boobs were too out (and I was too tipsy to police them). Bottom of the dress was off the floor in short heels. The straps had a few threads showing. Ultimately I felt like a million bucks all night.","February 18, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Elegant,"This dress was very classy and flattering, but it was too large in the bust.","January 22, 2020",Large
https://www.renttherunway.com/pdp/items/DTP70,Rachel,"Nice dress, but didn’t fit quite right on me.","The dress was pretty , but I didn’t end up wearing it in the end. The fit was off in the top for me- it was too big and there was a lot of gapping (I’m a 32b/32c for reference).","January 20, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Catie,I got tons of compliments all night.,"Forgot to get a picture, but it was pretty snug/revealing on the top. I'm 5'6, 160 lbs ,and 32 DDD. I was a little self conscious about the amount of cleavage I showed, but the dress fits well and did stay in place without added tape or anything. There was a lot more give in the body of the dress than expected too, I was never uncomfortable or felt like I was going to rip it, sitting down or dancing .","December 30, 2019",True to Size
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Beautiful wedding,This dress fit and felt great. The neckline was more low cut than I anticipated but ended up being fine and everything stayed in place. The dress is very flattering.,"December 28, 2019",True to Size
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Great dress!,"I loved this dress and received a ton of complements! I would suggest fashion tape to anyone looking to rent this dress in the future. The bust was a little bustier then I anticipated, but manageable. The roushing in the waist was great and gave more of an hour glass look as well as helped to hide my lower tummy. I'm a mother of two toddlers and have an athletic build with a small bust.","December 18, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/DTP70,Farahin,It's simple yet tasteful and overall a stunning dress!,I think this dress worked well for me since I'm not very tall and I am kind of busty. I didn't have to pin the front to reduce the cleavage or prevent any wardrobe malfunctions from occurring. I found myself lifting up the straps a couple times but the dress did fit really nicely! The side slit added a really nice touch to the dress. I would definitely wear this dress again to another event!,"December 16, 2019",True to Size
https://www.renttherunway.com/pdp/items/RMB64,Rachel,"Classic look, TTS","I rented this for an Evening En Blanc party and while I miscalculated how formal the event was (I was one of few women wearing pants, the horror!) I thought the blouse looked classic and well-made enough that I fit in. Very lovely look for a summer shindig.","August 28, 2019",True to Size
https://www.renttherunway.com/pdp/items/RMB64,Mary joe,I liked the top. Very basic and versatile,A little sheer but not too bad,"January 23, 2020",Small
https://www.renttherunway.com/pdp/items/RMB64,Monica,Gorgeous!,"This top was great, a true home run piece.","January 5, 2020",True to Size
